type	id	chrom	strand	Up-stream Exon	Cassette Exon	Down-stream Exon	4th Exon	Transcrtip IDs	Region
CAS	chr8:+:BAG4:CAS:0	chr8	+	38034106:38034657	38050206:38050313	38065030:38065284	N/A	NM_001204878,NM_004874	chr8:38034106-38065284
CAS	chr8:+:CA2:CAS:0	chr8	+	86377501:86377698	86385922:86386040	86386553:86386645	N/A	NM_001293675,NM_000067	chr8:86377501-86386645
AFE	chr8:-:CASC9:AFE:0	chr8	-	76236800:76236976	76236456:76236560	76135352:76136593	N/A	NR_103849,NR_103850	chr8:76135352-76236976
CAS	chr8:-:CHRNA6:CAS:0	chr8	-	42620208:42620347	42614212:42614256	42612071:42612180	N/A	NM_001199279,NM_004198	chr8:42612071-42620347
CAS	chr8:+:CRISPLD1:CAS:0	chr8	+	75925125:75925257	75926222:75926337	75927047:75927147	N/A	NM_001286777,NM_001286778;NM_001286777,NM_031461	chr8:75925125-75927147
CAS	chr8:-:CSGALNACT1:CAS:0	chr8	-	19315937:19316153	19315041:19315327	19297341:19297442	N/A	NM_001130518,NR_024040;NM_018371,NR_024040	chr8:19297341-19316153
CAS	chr8:-:CSMD3:CAS:0	chr8	-	113318236:113318421	113316950:113317144	113314022:113314195	N/A	NM_052900,NM_198123;NM_052900,NM_198124	chr8:113314022-113318421
CAS	chr8:-:CSMD3:CAS:1	chr8	-	114031296:114031408	113988066:113988377	113966913:113966990	N/A	NM_052900,NM_198123;NM_052900,NM_198124	chr8:113966913-114031408
CAS	chr8:+:CSPP1:CAS:0	chr8	+	68049691:68049838	68062018:68062170	68066259:68066371	N/A	NM_001291339,NM_024790	chr8:68049691-68066371
CAS	chr8:-:CYP11B1:CAS:0	chr8	-	143956650:143956728	143956373:143956570	143953773:143955902	N/A	NM_001026213,NM_000497	chr8:143953773-143956728
CAS	chr8:+:DLGAP2:CAS:0	chr8	+	1616495:1616844	1617909:1617950	1624699:1624784	N/A	NM_001277161,NM_004745	chr8:1616495-1624784
CAS	chr8:-:EFCAB1:CAS:0	chr8	-	49647653:49647870	49643907:49644062	49643099:49643203	N/A	NM_001142857,NM_024593;NR_024605,NM_024593	chr8:49643099-49647870
CAS	chr8:+:ELP3:CAS:0	chr8	+	27964230:27964300	27965430:27965493	27967887:27967955	N/A	NM_001284224,NM_001284220;NM_001284224,NM_001284222;NM_001284224,NM_001284226;NM_001284224,NM_018091;NM_001284225,NM_001284220;NM_001284225,NM_001284222;NM_001284225,NM_001284226;NM_001284225,NM_018091	chr8:27964230-27967955
CAS	chr8:-:ENPP2:CAS:0	chr8	-	120592356:120592407	120584416:120584490	120582945:120583081	N/A	NM_001040092,NM_001130863;NM_006209,NM_001130863;NR_045555,NM_001130863	chr8:120582945-120592407
CAS	chr8:+:ERICH5:CAS:0	chr8	+	99076750:99076955	99101304:99102257	99105449:99105838	N/A	NM_001170806,NM_173549	chr8:99076750-99105838
CAS	chr8:-:EYA1:CAS:0	chr8	-	72181975:72182058	72156838:72156927	72129200:72129258	N/A	NM_172059,NM_000503;NM_172059,NM_001288574;NM_172059,NM_001288575;NM_172059,NM_172058;NM_172059,NM_172060	chr8:72129200-72182058
CAS	chr8:+:FAM83A:CAS:0	chr8	+	124194266:124195576	124204043:124204210	124206264:124206388	N/A	NM_001288587,NM_032899;NM_001288587,NM_207006	chr8:124194266-124206388
CAS	chr8:-:FAM86B1:CAS:0	chr8	-	12044209:12044342	12043861:12044126	12042885:12043034	N/A	NR_003494,NM_001083537	chr8:12042885-12044342
CAS	chr8:+:FAM86B3P:CAS:0	chr8	+	8090316:8090396	8092005:8092106	8093338:8093471	N/A	NR_024363,NR_024361;NR_024363,NR_024362	chr8:8090316-8093471
CAS	chr8:+:FAM86B3P:CAS:1	chr8	+	8093338:8093471	8093554:8093821	8094648:8094797	N/A	NR_024363,NR_024361;NR_024363,NR_024362	chr8:8093338-8094797
CAS	chr8:+:FAM92A1:CAS:0	chr8	+	94738622:94738741	94739359:94739472	94740433:94741478	N/A	NM_001283034,NR_104267;NM_145269,NR_104267;NR_104268,NR_104267	chr8:94738622-94741478
CAS	chr8:-:FBXO16:CAS:0	chr8	-	28340865:28340979	28331289:28331324	28321129:28321335	N/A	NM_001258211,NM_172366	chr8:28321129-28340979
CAS	chr8:+:FBXO25:CAS:0	chr8	+	381341:381444	382886:382935	385615:385707	N/A	NM_012173,NM_183420;NM_012173,NM_183421	chr8:381341-385707
CAS	chr8:+:FBXO25:CAS:1	chr8	+	413007:413150	417720:417746	418715:419875	N/A	NM_012173,NM_183421;NM_183420,NM_183421	chr8:413007-419875
CAS	chr8:+:FNTA:CAS:0	chr8	+	42911442:42911689	42914235:42914320	42919244:42919358	N/A	NR_033698,NM_002027	chr8:42911442-42919358
CAS	chr8:+:FZD3:CAS:0	chr8	+	28351722:28351860	28357450:28357495	28360187:28360719	N/A	NM_145866,NM_017412	chr8:28351722-28360719
CAS	chr8:-:HR:CAS:0	chr8	-	21976463:21976578	21974388:21974552	21973813:21973941	N/A	NM_018411,NM_005144	chr8:21973813-21976578
CAS	chr8:+:IKBKB:CAS:0	chr8	+	42176788:42176939	42177103:42177164	42178253:42178362	N/A	NR_033819,NM_001190720;NR_033819,NM_001242778;NR_033819,NM_001556;NR_033819,NR_033818;NR_033819,NR_040009	chr8:42176788-42178362
CAS	chr8:-:IMPA1:CAS:0	chr8	-	82586076:82586184	82583174:82583282	82572751:82572902	N/A	NM_001144879,NM_001144878;NM_001144879,NM_005536	chr8:82572751-82586184
CAS	chr8:-:IMPA1:CAS:1	chr8	-	82598487:82598589	82597998:82598198	82593733:82593819	N/A	NM_001144879,NM_001144878;NM_005536,NM_001144878	chr8:82593733-82598589
CAS	chr8:+:INTS8:CAS:0	chr8	+	95878386:95878419	95878540:95878581	95879368:95879424	N/A	NM_017864,NR_073444;NR_073445,NR_073444	chr8:95878386-95879424
CAS	chr8:+:INTS8:CAS:1	chr8	+	95879504:95879565	95880920:95881041	95884112:95884230	N/A	NM_017864,NR_073444;NM_017864,NR_073445	chr8:95879504-95884230
CAS	chr8:-:INTS9:CAS:0	chr8	-	28707730:28707790	28704264:28704326	28695154:28695293	N/A	NM_001145159,NM_001172562;NM_001145159,NM_018250;NR_026826,NM_001172562;NR_026826,NM_018250	chr8:28695154-28707790
CAS	chr8:+:LOC100132891:CAS:0	chr8	+	72875158:72875283	72877644:72877769	72964774:72968547	N/A	NR_033651,NR_033652	chr8:72875158-72968547
CAS	chr8:+:LOC100506990:CAS:0	chr8	+	12302265:12302403	12355092:12355358	12388452:12388540	N/A	NR_040092,NR_040091	chr8:12302265-12388540
CAS	chr8:+:LOC286094:CAS:0	chr8	+	136246374:136246757	136300339:136300355	136303419:136303595	N/A	NR_120396,NR_026706;NR_120396,NR_120395	chr8:136246374-136303595
CAS	chr8:-:LRP12:CAS:0	chr8	-	105601047:105601252	105544135:105544191	105521167:105521302	N/A	NM_001135703,NM_013437	chr8:105521167-105601252
CAS	chr8:+:LRRC14:CAS:0	chr8	+	145743349:145743425	145744133:145744199	145744999:145745438	N/A	NM_014665,NM_001272036	chr8:145743349-145745438
CAS	chr8:-:LRRC6:CAS:0	chr8	-	133595941:133596022	133590655:133590763	133584201:133584728	N/A	NM_012472,NR_073525	chr8:133584201-133596022
CAS	chr8:-:LSM1:CAS:0	chr8	-	38029483:38029551	38027320:38027435	38020839:38021358	N/A	NR_045492,NM_014462;NR_045492,NR_045493	chr8:38020839-38029551
CAS	chr8:+:LY96:CAS:0	chr8	+	74903564:74903789	74917031:74917120	74922236:74922364	N/A	NM_001195797,NM_015364	chr8:74903564-74922364
CAS	chr8:+:MCPH1:CAS:0	chr8	+	6293569:6293683	6296474:6296617	6299588:6299677	N/A	NM_001172575,NM_001172574;NM_001172575,NM_024596	chr8:6293569-6299677
CAS	chr8:+:MED30:CAS:0	chr8	+	118540890:118541048	118542962:118543066	118552122:118552501	N/A	NM_001282986,NM_080651	chr8:118540890-118552501
CAS	chr8:-:MROH5:CAS:0	chr8	-	142445227:142445349	142444924:142445026	142444651:142444725	N/A	NR_102364,NM_207414;NR_102364,NR_102363	chr8:142444651-142445349
CAS	chr8:-:MROH5:CAS:1	chr8	-	142450326:142450469	142446786:142446962	142446013:142446168	N/A	NR_102364,NM_207414;NR_102364,NR_102363	chr8:142446013-142450469
CAS	chr8:-:MROH5:CAS:2	chr8	-	142500217:142500376	142499797:142499937	142498651:142498703	N/A	NM_207414,NR_102364;NR_102363,NR_102364	chr8:142498651-142500376
CAS	chr8:-:MROH5:CAS:3	chr8	-	142517170:142517330	142506420:142506601	142505438:142505583	N/A	NR_102363,NM_207414;NR_102364,NM_207414	chr8:142505438-142517330
CAS	chr8:+:MSRA:CAS:0	chr8	+	10065343:10065411	10102614:10102733	10159044:10159148	N/A	NM_001135670,NM_001135671;NM_001135670,NM_001199729;NM_001135670,NM_012331	chr8:10065343-10159148
CAS	chr8:-:MTERF3:CAS:0	chr8	-	97256147:97256308	97252022:97252083	97251626:97251913	N/A	NM_015942,NM_001286643	chr8:97251626-97256308
CAS	chr8:+:MTFR1:CAS:0	chr8	+	66582108:66582253	66594588:66594686	66605879:66605994	N/A	NM_001145838,NM_001145839;NM_001145838,NM_014637	chr8:66582108-66605994
CAS	chr8:-:MTSS1:CAS:0	chr8	-	125597328:125597402	125592792:125592803	125580620:125580777	N/A	NM_001282974,NM_001282971;NM_014751,NM_001282971	chr8:125580620-125597402
CAS	chr8:-:MYBL1:CAS:0	chr8	-	67478919:67479023	67478299:67478478	67474410:67477060	N/A	NM_001144755,NM_001080416;NM_001294282,NM_001080416	chr8:67474410-67479023
CAS	chr8:+:NPM2:CAS:0	chr8	+	21890641:21890734	21891620:21891786	21892021:21892055	N/A	NM_001286681,NM_001286680;NM_001286681,NM_182795	chr8:21890641-21892055
CAS	chr8:+:NRG1-IT1:CAS:0	chr8	+	31886895:31887001	31887892:31887975	31996731:31996993	N/A	NR_104157,NR_104156;NR_104158,NR_104156	chr8:31886895-31996993
CAS	chr8:-:OPRK1:CAS:0	chr8	-	54163341:54163645	54155299:54155472	54147319:54147671	N/A	NM_000912,NM_001282904	chr8:54147319-54163645
CAS	chr8:+:OSR2:CAS:0	chr8	+	99956631:99957051	99960401:99960649	99961067:99961836	N/A	NM_001142462,NM_001286841;NM_053001,NM_001286841	chr8:99956631-99961836
CAS	chr8:+:OTUD6B:CAS:0	chr8	+	92086059:92086139	92088820:92088959	92090584:92090896	N/A	NM_016023,NM_001286745	chr8:92086059-92090896
CAS	chr8:+:PHF20L1:CAS:0	chr8	+	133811018:133811106	133811341:133811418	133816064:133816277	N/A	NM_001277196,NM_016018;NM_198513,NM_016018	chr8:133811018-133816277
CAS	chr8:-:PHYHIP:CAS:0	chr8	-	22089309:22089851	22086301:22086422	22085706:22085899	N/A	NM_014759,NM_001099335	chr8:22085706-22089851
CAS	chr8:-:PINX1:CAS:0	chr8	-	10683662:10683754	10677703:10677779	10622471:10623426	N/A	NM_001284356,NM_017884	chr8:10622471-10683754
CAS	chr8:+:PKIA:CAS:0	chr8	+	79428336:79428703	79485046:79485174	79510593:79510770	N/A	NM_181839,NM_006823	chr8:79428336-79510770
CAS	chr8:-:PLAG1:CAS:0	chr8	-	57083650:57083748	57080587:57080945	57073468:57080062	N/A	NM_001114635,NM_001114634;NM_001114635,NM_002655	chr8:57073468-57083748
CAS	chr8:-:PLAG1:CAS:1	chr8	-	57123680:57123859	57091968:57092072	57083650:57083748	N/A	NM_001114634,NM_002655;NM_001114635,NM_002655	chr8:57083650-57123859
CAS	chr8:-:PLAT:CAS:0	chr8	-	42048890:42048932	42046452:42046589	42045424:42045534	N/A	NM_033011,NM_000930	chr8:42045424-42048932
CAS	chr8:+:POMK:CAS:0	chr8	+	42952667:42952758	42957648:42957743	42958671:42958973	N/A	NM_001277971,NM_032237	chr8:42952667-42958973
CAS	chr8:+:POTEA:CAS:0	chr8	+	43155661:43155767	43157116:43157253	43159842:43159912	N/A	NM_001002920,NM_001005365	chr8:43155661-43159912
CAS	chr8:+:PPP3CC:CAS:0	chr8	+	22386019:22386090	22388815:22388841	22389738:22389819	N/A	NM_001243975,NM_001243974;NM_005605,NM_001243974	chr8:22386019-22389819
CAS	chr8:+:PPP3CC:CAS:1	chr8	+	22390434:22390531	22396982:22397011	22398128:22398657	N/A	NM_001243975,NM_001243974;NM_001243975,NM_005605	chr8:22390434-22398657
CAS	chr8:-:PRKDC:CAS:0	chr8	-	48694939:48695159	48694723:48694815	48691565:48691654	N/A	NM_001081640,NM_006904	chr8:48691565-48695159
CAS	chr8:-:PTK2:CAS:0	chr8	-	141684397:141684503	141679826:141679834	141678368:141678523	N/A	NM_005607,NM_001199649;NM_153831,NM_001199649	chr8:141678368-141684503
CAS	chr8:+:PTK2B:CAS:0	chr8	+	27301723:27301788	27303311:27303436	27308266:27308412	N/A	NM_173175,NM_004103;NM_173175,NM_173174;NM_173175,NM_173176	chr8:27301723-27308412
CAS	chr8:+:PTP4A3:CAS:0	chr8	+	142437039:142437169	142437850:142437924	142441027:142442554	N/A	NM_007079,NM_032611	chr8:142437039-142442554
CAS	chr8:-:PUF60:CAS:0	chr8	-	144903767:144903856	144902836:144902886	144900543:144900704	N/A	NM_001271096,NM_001136033;NM_001271096,NM_001271098;NM_001271096,NM_001271099;NM_001271096,NM_078480;NM_001271097,NM_001136033;NM_001271097,NM_001271098;NM_001271097,NM_001271099;NM_001271097,NM_078480;NM_001271100,NM_001136033;NM_001271100,NM_001271098;NM_001271100,NM_001271099;NM_001271100,NM_078480;NM_014281,NM_001136033;NM_014281,NM_001271098;NM_014281,NM_001271099;NM_014281,NM_078480	chr8:144900543-144903856
CAS	chr8:-:RAB11FIP1:CAS:0	chr8	-	37732033:37732840	37728796:37730697	37727938:37728046	N/A	NM_025151,NM_001002814	chr8:37727938-37732840
CAS	chr8:+:RAB2A:CAS:0	chr8	+	61429469:61429812	61471411:61471482	61484605:61484672	N/A	NM_001242644,NM_002865	chr8:61429469-61484672
CAS	chr8:+:RALYL:CAS:0	chr8	+	85686814:85686889	85717005:85717037	85762215:85762262	N/A	NM_001287243,NM_001100391;NM_001287243,NM_001100392;NM_001287243,NM_001100393;NM_001287243,NM_001287244;NM_001287243,NM_173848	chr8:85686814-85762262
CAS	chr8:-:RGS22:CAS:0	chr8	-	101105675:101105737	101104106:101104215	101092362:101092583	N/A	NM_001286692,NM_001286693;NM_015668,NM_001286693	chr8:101092362-101105737
CAS	chr8:-:RMDN1:CAS:0	chr8	-	87498713:87498872	87497101:87497190	87492506:87492561	N/A	NM_001286707,NM_016033;NM_001286719,NM_016033	chr8:87492506-87498872
CAS	chr8:-:RSPO2:CAS:0	chr8	-	109094773:109095035	109001284:109001472	108972902:108973045	N/A	NM_001282863,NM_178565	chr8:108972902-109095035
CAS	chr8:-:SARAF:CAS:0	chr8	-	29940363:29940724	29931393:29931571	29927158:29927575	N/A	NM_001284239,NM_016127	chr8:29927158-29940724
CAS	chr8:-:SCRIB:CAS:0	chr8	-	144874046:144874083	144873836:144873910	144873559:144873610	N/A	NM_015356,NM_182706	chr8:144873559-144874083
CAS	chr8:+:SGK3:CAS:0	chr8	+	67753259:67753345	67755687:67755782	67759428:67759583	N/A	NM_170709,NM_001033578;NM_170709,NM_013257	chr8:67753259-67759583
CAS	chr8:-:SHARPIN:CAS:0	chr8	-	145154180:145154333	145153984:145154108	145153769:145153897	N/A	NR_038270,NM_030974	chr8:145153769-145154333
CAS	chr8:-:SLA:CAS:0	chr8	-	134060075:134060178	134057229:134057360	134052243:134052375	N/A	NM_001282964,NM_001045556;NM_001282964,NM_001045557;NM_001282964,NM_001282965;NM_001282964,NM_006748	chr8:134052243-134060178
CAS	chr8:-:SLC18A1:CAS:0	chr8	-	20005114:20005233	20004769:20004902	20002366:20003387	N/A	NM_001142325,NM_001135691;NM_001142325,NM_001142324;NM_001142325,NM_003053	chr8:20002366-20005233
CAS	chr8:-:SLC18A1:CAS:1	chr8	-	20022558:20022618	20022380:20022475	20008177:20008255	N/A	NM_001142324,NM_001135691;NM_001142324,NM_001142325;NM_001142324,NM_003053	chr8:20008177-20022618
CAS	chr8:-:SLC18A1:CAS:2	chr8	-	20040574:20040717	20039260:20039463	20038352:20038598	N/A	NM_003053,NM_001135691;NM_003053,NM_001142324;NM_003053,NM_001142325	chr8:20038352-20040717
CAS	chr8:-:SLC25A32:CAS:0	chr8	-	104419862:104420012	104417004:104417089	104415392:104415552	N/A	NR_102337,NM_030780;NR_102337,NR_102338	chr8:104415392-104420012
CAS	chr8:-:SLC25A32:CAS:1	chr8	-	104427012:104427563	104425651:104425759	104419862:104420012	N/A	NM_030780,NR_102338;NR_102337,NR_102338	chr8:104419862-104427563
CAS	chr8:+:SLC26A7:CAS:0	chr8	+	92346523:92346675	92350378:92350460	92352632:92352779	N/A	NM_001282357,NM_001282356;NM_001282357,NM_052832;NM_001282357,NM_134266	chr8:92346523-92352779
CAS	chr8:-:SLCO5A1:CAS:0	chr8	-	70591613:70591854	70588844:70588908	70584568:70585561	N/A	NM_001146008,NM_001146009;NM_001146008,NM_030958	chr8:70584568-70591854
CAS	chr8:-:SLCO5A1:CAS:1	chr8	-	70667659:70667876	70650275:70650439	70617266:70617464	N/A	NM_001146009,NM_001146008;NM_001146009,NM_030958	chr8:70617266-70667876
CAS	chr8:+:SNTG1:CAS:0	chr8	+	51621446:51621538	51664561:51664671	51705231:51706678	N/A	NM_001287814,NM_001287813;NM_001287814,NM_018967	chr8:51621446-51706678
CAS	chr8:-:SNX16:CAS:0	chr8	-	82751847:82752317	82741665:82741751	82736027:82736175	N/A	NM_152837,NM_022133;NM_152837,NM_152836	chr8:82736027-82752317
CAS	chr8:-:SNX16:CAS:1	chr8	-	82754357:82754521	82752433:82752678	82751847:82752317	N/A	NM_152836,NM_022133;NM_152837,NM_022133	chr8:82751847-82754521
CAS	chr8:+:SPATC1:CAS:0	chr8	+	145095469:145096008	145096133:145096272	145101528:145102015	N/A	NM_001134374,NM_198572	chr8:145095469-145102015
CAS	chr8:+:SPIDR:CAS:0	chr8	+	48508373:48508568	48511508:48511758	48586363:48586503	N/A	NR_104581,NM_001080394;NR_104581,NM_001282916;NR_104581,NM_001282919	chr8:48508373-48586503
CAS	chr8:+:STMN2:CAS:0	chr8	+	80567106:80567297	80575815:80575896	80577050:80578410	N/A	NM_007029,NM_001199214	chr8:80567106-80578410
CAS	chr8:-:STMN4:CAS:0	chr8	-	27097488:27097679	27096743:27096796	27092840:27094422	N/A	NM_001283054,NM_001283053;NM_001283054,NM_001283055;NM_030795,NM_001283053;NM_030795,NM_001283055	chr8:27092840-27097679
CAS	chr8:-:STMN4:CAS:1	chr8	-	27099914:27100009	27099194:27099274	27098571:27098779	N/A	NM_001283054,NM_001283053;NM_001283054,NM_030795;NM_001283055,NM_001283053;NM_001283055,NM_030795	chr8:27098571-27100009
CAS	chr8:-:STMN4:CAS:2	chr8	-	27115868:27115956	27101228:27101318	27099914:27100009	N/A	NM_001283055,NM_001283053;NM_001283055,NM_001283054;NM_001283055,NM_030795	chr8:27099914-27115956
CAS	chr8:-:TATDN1:CAS:0	chr8	-	125516512:125516588	125516081:125516192	125507713:125507783	N/A	NM_001146160,NR_027427;NM_032026,NR_027427	chr8:125507713-125516588
CAS	chr8:+:TBC1D31:CAS:0	chr8	+	124142438:124142573	124146354:124146446	124153001:124153141	N/A	NM_001145088,NM_145647	chr8:124142438-124153141
CAS	chr8:+:TBC1D31:CAS:1	chr8	+	124153001:124153141	124154502:124154696	124156957:124157095	N/A	NM_001145088,NM_145647	chr8:124153001-124157095
CAS	chr8:-:TCEA1:CAS:0	chr8	-	54891585:54891731	54891083:54891257	54882952:54883023	N/A	NM_006756,NR_109901;NM_201437,NR_109901;NR_109902,NR_109901	chr8:54882952-54891731
CAS	chr8:+:TERF1:CAS:0	chr8	+	73939175:73939287	73942571:73942630	73944277:73944368	N/A	NM_003218,NM_017489	chr8:73939175-73944368
CAS	chr8:-:THAP1:CAS:0	chr8	-	42698167:42698474	42694329:42694524	42691817:42693479	N/A	NM_199003,NM_018105	chr8:42691817-42698474
CAS	chr8:-:TMEM64:CAS:0	chr8	-	91657339:91658133	91643780:91643935	91634223:91638090	N/A	NM_001146273,NM_001008495	chr8:91634223-91658133
CAS	chr8:-:TNFRSF10B:CAS:0	chr8	-	22926264:22926700	22900651:22900756	22888272:22888385	N/A	NR_027140,NM_003842;NR_027140,NM_147187	chr8:22888272-22926700
CAS	chr8:-:TP53INP1:CAS:0	chr8	-	95952088:95952448	95944298:95944335	95938200:95942956	N/A	NM_033285,NM_001135733	chr8:95938200-95952448
CAS	chr8:-:TPD52:CAS:0	chr8	-	80965517:80965665	80964841:80964910	80963762:80963863	N/A	NM_001025252,NR_105033;NM_001025253,NR_105033;NM_001287140,NR_105033;NM_001287142,NR_105033;NM_001287143,NR_105033;NM_001287144,NR_105033;NM_005079,NR_105033;NR_105034,NR_105033;NR_105035,NR_105033;NR_105036,NR_105033;NR_105037,NR_105033	chr8:80963762-80965665
CAS	chr8:+:TUSC3:CAS:0	chr8	+	15605884:15605974	15615300:15615364	15621712:15624158	N/A	NM_178234,NM_006765	chr8:15605884-15624158
CAS	chr8:-:UBE2W:CAS:0	chr8	-	74742616:74742707	74737382:74737484	74722709:74722864	N/A	NR_073119,NM_001001481;NR_073119,NM_001271015;NR_073119,NM_018299;NR_073120,NM_001001481;NR_073120,NM_001271015;NR_073120,NM_018299;NR_073121,NM_001001481;NR_073121,NM_001271015;NR_073121,NM_018299	chr8:74722709-74742707
CAS	chr8:-:UBE2W:CAS:1	chr8	-	74791043:74791145	74782504:74782536	74742616:74742707	N/A	NM_001271015,NM_001001481;NM_018299,NM_001001481;NR_073119,NM_001001481;NR_073120,NM_001001481;NR_073121,NM_001001481	chr8:74742616-74791145
CAS	chr8:+:UBXN8:CAS:0	chr8	+	30610552:30610622	30612182:30612304	30614282:30614404	N/A	NM_001282199,NM_001282189;NM_001282199,NM_005671	chr8:30610552-30614404
CAS	chr8:-:UQCRB:CAS:0	chr8	-	97247740:97247862	97246651:97246764	97245384:97245455	N/A	NM_001254752,NM_001199975;NM_006294,NM_001199975;NR_045639,NM_001199975	chr8:97245384-97247862
CAS	chr8:+:VPS13B:CAS:0	chr8	+	100050651:100050794	100068154:100068268	100108540:100108660	N/A	NM_015243,NR_047582;NM_017890,NR_047582;NM_152564,NR_047582;NM_181661,NR_047582	chr8:100050651-100108660
CAS	chr8:+:VPS37A:CAS:0	chr8	+	17104401:17104878	17123416:17123490	17125767:17125881	N/A	NM_001145152,NM_152415	chr8:17104401-17125881
CAS	chr8:+:WDYHV1:CAS:0	chr8	+	124442223:124442273	124447682:124447782	124448693:124448841	N/A	NM_001283024,NM_001283027;NM_018024,NM_001283027	chr8:124442223-124448841
CAS	chr8:-:XKR5:CAS:0	chr8	-	6690239:6690422	6686691:6686828	6682687:6682871	N/A	NM_207411,NM_001289973	chr8:6682687-6690422
CAS	chr8:+:XKR9:CAS:0	chr8	+	71587053:71587134	71590265:71590374	71593016:71593565	N/A	NM_001011720,NM_001287259;NM_001287258,NM_001287259;NM_001287260,NM_001287259	chr8:71587053-71593565
CAS	chr8:+:XKR9:CAS:1	chr8	+	71593016:71593565	71595748:71595865	71619168:71619388	N/A	NM_001011720,NM_001287258;NM_001287259,NM_001287258;NM_001287260,NM_001287258	chr8:71593016-71619388
CAS	chr8:-:ZFAND1:CAS:0	chr8	-	82630417:82630459	82629484:82629523	82627222:82627349	N/A	NR_033193,NM_001170796;NR_033193,NM_001170797;NR_033193,NM_024699;NR_033194,NM_001170796;NR_033194,NM_001170797;NR_033194,NM_024699;NR_033195,NM_001170796;NR_033195,NM_001170797;NR_033195,NM_024699;NR_033196,NM_001170796;NR_033196,NM_001170797;NR_033196,NM_024699	chr8:82627222-82630459
CAS	chr8:-:ZFAT:CAS:0	chr8	-	135577576:135577664	135577230:135577395	135545077:135545215	N/A	NM_001029939,NR_110323;NM_001167583,NR_110323;NM_001174157,NR_110323;NM_001174158,NR_110323;NM_001289394,NR_110323;NM_020863,NR_110323	chr8:135545077-135577664
CAS	chr8:-:ZFAT:CAS:1	chr8	-	135649704:135649955	135622713:135622898	135620972:135621122	N/A	NM_001174157,NM_001029939;NM_001174157,NM_001167583;NM_001174157,NM_001174158;NM_001174157,NM_001289394;NM_001174157,NM_020863;NM_001174157,NR_110323	chr8:135620972-135649955
CAS	chr8:-:ZHX1:CAS:0	chr8	-	124279513:124279626	124265562:124268411	124260690:124262560	N/A	NR_037874,NM_001017926;NR_037874,NM_007222;NR_037874,NR_037873	chr8:124260690-124279626
CAS	chr8:-:ZMAT4:CAS:0	chr8	-	40554764:40554920	40532223:40532450	40438684:40438780	N/A	NM_001135731,NM_024645	chr8:40438684-40554920
CAS	chr8:-:ZNF16:CAS:0	chr8	-	146176183:146176274	146173326:146173411	146171397:146171601	N/A	NM_006958,NM_001029976	chr8:146171397-146176274
CAS	chr8:-:ZNF34:CAS:0	chr8	-	146003423:146003549	146002843:146002962	145997609:145999990	N/A	NM_001286770,NM_001286769;NM_001286770,NM_030580	chr8:145997609-146003549
CAS	chr9:+:ACO1:CAS:0	chr9	+	32384601:32384733	32386369:32386440	32405483:32405601	N/A	NM_002197,NM_001278352	chr9:32384601-32405601
CAS	chr9:+:ADAMTS13:CAS:0	chr9	+	136321665:136321841	136323032:136323216	136324096:136324525	N/A	NR_024514,NM_139025;NR_024514,NM_139026;NR_024514,NM_139027	chr9:136321665-136324525
CAS	chr9:-:AGPAT2:CAS:0	chr9	-	139571413:139571588	139571037:139571132	139569187:139569259	N/A	NM_001012727,NM_006412	chr9:139569187-139571588
CAS	chr9:-:AGTPBP1:CAS:0	chr9	-	88356690:88356944	88327417:88327481	88307604:88307728	N/A	NM_001286715,NM_015239;NM_001286717,NM_015239	chr9:88307604-88356944
CAS	chr9:+:AKAP2:CAS:0	chr9	+	112918599:112918777	112924374:112924412	112930679:112934791	N/A	NM_001004065,NM_001198656;NM_001136562,NM_001198656	chr9:112918599-112934791
CAS	chr9:-:ALG2:CAS:0	chr9	-	101983829:101984246	101983261:101983419	101978707:101981118	N/A	NM_033087,NR_024532	chr9:101978707-101984246
CAS	chr9:+:ASS1:CAS:0	chr9	+	133320094:133320382	133325659:133325720	133327611:133327720	N/A	NM_054012,NM_000050	chr9:133320094-133327720
CAS	chr9:+:B4GALT1-AS1:CAS:0	chr9	+	33177418:33177467	33178894:33178955	33179323:33179981	N/A	NR_108110,NR_108108;NR_108110,NR_108109	chr9:33177418-33179981
CAS	chr9:+:C9orf171:CAS:0	chr9	+	135285583:135285853	135357697:135357804	135374082:135374181	N/A	NM_001282957,NM_207417	chr9:135285583-135374181
CAS	chr9:-:C9orf84:CAS:0	chr9	-	114467527:114467644	114466161:114466272	114464385:114464506	N/A	NR_109816,NM_001080551;NR_109816,NM_173521	chr9:114464385-114467644
CAS	chr9:+:CACFD1:CAS:0	chr9	+	136328605:136328677	136330444:136330569	136333043:136333150	N/A	NM_001135775,NM_001242369;NM_001135775,NM_017586;NM_001242370,NM_001242369;NM_001242370,NM_017586	chr9:136328605-136333150
CAS	chr9:+:CACFD1:CAS:1	chr9	+	136333043:136333150	136333462:136333586	136333685:136335909	N/A	NM_001135775,NM_001242369;NM_001135775,NM_001242370;NM_017586,NM_001242369;NM_017586,NM_001242370	chr9:136333043-136335909
CAS	chr9:-:CBWD1:CAS:0	chr9	-	152034:152078	146102:146158	134979:135030	N/A	NM_001145356,NM_001145355;NM_001145356,NM_018491	chr9:134979-152078
CAS	chr9:-:CBWD1:CAS:1	chr9	-	178816:179075	177723:177820	175698:175784	N/A	NM_001145356,NM_001145355;NM_018491,NM_001145355	chr9:175698-179075
