##event_type	event_id	chr	strand	e1	e2	e3	e4	alt_transcript_supports	event_coordinate
CAS	chr10:-:NT5C2:CAS:0	chr10	-	104952993:104953063	104940988:104941085	104934615:104934739	N/A	NM_001134373,NM_012229	chr10:104934615-104953063
CAS	chr10:+:NUDT13:CAS:0	chr10	+	74874115:74874206	74879209:74879280	74879776:74879915	N/A	NM_001283014,NM_001283016;NM_001283014,NM_001283017;NM_001283015,NM_001283016;NM_001283015,NM_001283017;NM_001283019,NM_001283016;NM_001283019,NM_001283017;NM_015901,NM_001283016;NM_015901,NM_001283017;NR_104264,NM_001283016;NR_104264,NM_001283017	chr10:74874115-74879915
CAS	chr10:+:NUDT13:CAS:1	chr10	+	74881933:74882067	74883972:74884078	74884876:74885001	N/A	NM_001283017,NM_001283014;NM_001283017,NM_001283015;NM_001283017,NM_001283016;NM_001283017,NM_015901;NM_001283017,NR_104264;NM_001283019,NM_001283014;NM_001283019,NM_001283015;NM_001283019,NM_001283016;NM_001283019,NM_015901;NM_001283019,NR_104264	chr10:74881933-74885001
A3SS	chr10:+:NUDT13:A3SS:0	chr10	+	74885156:74885267	74886393:74886585	74886431:74886585	N/A	NM_001283016,NR_104264;NM_001283017,NR_104264;NM_001283019,NR_104264;NM_015901,NR_104264	chr10:74885156-74886585
CAS	chr10:-:OAT:CAS:0	chr10	-	126107442:126107545	126100542:126100769	126097310:126097534	N/A	NM_001171814,NM_000274	chr10:126097310-126107545
CAS	chr10:+:OLAH:CAS:0	chr10	+	15091634:15091764	15098823:15098981	15103723:15103861	N/A	NM_001039702,NM_018324	chr10:15091634-15103861
A5SS	chr10:-:OPALIN:A5SS:0	chr10	-	98111149:98111167	98111135:98111167	98109464:98109583	N/A	NR_104297,NM_001040103;NR_104297,NM_001284321;NR_104297,NM_001284322;NR_104297,NM_001284323;NR_104297,NM_001284324;NR_104297,NM_001284326;NR_104297,NM_001284327;NR_104297,NM_033207;NR_104297,NR_104296	chr10:98109464-98111167
A5SS	chr10:-:OPALIN:A5SS:1	chr10	-	98115012:98115047	98114953:98115047	98111135:98111167	N/A	NM_001284326,NR_104296;NM_001284327,NR_104296;NM_033207,NR_104296	chr10:98111135-98115047
A3SS	chr10:-:OPALIN:A3SS:0	chr10	-	98115012:98115047	98113204:98113285	98113204:98113242	N/A	NM_001040103,NM_001284322;NM_001284323,NM_001284322;NM_001284324,NM_001284322	chr10:98113204-98115047
AFE	chr10:-:OPALIN:AFE:0	chr10	-	98118651:98119122	98116667:98116916	98115012:98115047	N/A	NM_001040103,NM_001284323;NM_001040103,NM_001284326;NM_001284320,NM_001284323;NM_001284320,NM_001284326;NM_001284322,NM_001284323;NM_001284322,NM_001284326;NM_033207,NM_001284323;NM_033207,NM_001284326;NR_104297,NM_001284323;NR_104297,NM_001284326	chr10:98115012-98119122
AFE	chr10:-:OPALIN:AFE:1	chr10	-	98118651:98119122	98116774:98116916	98115012:98115047	N/A	NM_001040103,NM_001284324;NM_001040103,NM_001284327;NM_001284320,NM_001284324;NM_001284320,NM_001284327;NM_001284322,NM_001284324;NM_001284322,NM_001284327;NM_033207,NM_001284324;NM_033207,NM_001284327;NR_104297,NM_001284324;NR_104297,NM_001284327	chr10:98115012-98119122
CAS	chr10:+:OPN4:CAS:0	chr10	+	88415912:88416057	88416952:88416984	88417789:88417922	N/A	NM_033282,NM_001030015	chr10:88415912-88417922
A3SS	chr10:+:OPTN:A3SS:0	chr10	+	13150962:13151015	13151097:13151288	13151112:13151288	N/A	NM_001008213,NM_001008211	chr10:13150962-13151288
CAS	chr10:-:P4HA1:CAS:0	chr10	-	74856524:74856732	74837479:74837571	74834566:74834673	N/A	NM_000917,NM_001142595;NM_001017962,NM_001142595;NM_001142596,NM_001142595	chr10:74834566-74856732
CAS	chr10:-:PANK1:CAS:0	chr10	-	91359009:91359262	91353570:91353746	91352954:91353077	N/A	NM_138316,NM_148977;NM_138316,NM_148978	chr10:91352954-91359262
AFE	chr10:-:PANK1:AFE:0	chr10	-	91404357:91405329	91403454:91403648	91371453:91371805	N/A	NM_148977,NM_138316;NM_148977,NM_148978	chr10:91371453-91405329
CAS	chr10:+:PAOX:CAS:0	chr10	+	135192741:135193001	135193503:135193989	135194964:135195163	N/A	NR_109764,NM_152911;NR_109764,NM_207127;NR_109764,NM_207128;NR_109764,NR_109763;NR_109765,NM_152911;NR_109765,NM_207127;NR_109765,NM_207128;NR_109765,NR_109763;NR_109766,NM_152911;NR_109766,NM_207127;NR_109766,NM_207128;NR_109766,NR_109763	chr10:135192741-135195163
CAS	chr10:+:PAOX:CAS:1	chr10	+	135202460:135202572	135203094:135203251	135204816:135205200	N/A	NM_207127,NM_152911;NM_207127,NR_109763;NM_207127,NR_109764;NM_207127,NR_109765;NM_207128,NM_152911;NM_207128,NR_109763;NM_207128,NR_109764;NM_207128,NR_109765;NR_109766,NM_152911;NR_109766,NR_109763;NR_109766,NR_109764;NR_109766,NR_109765	chr10:135202460-135205200
CAS	chr10:+:PAPSS2:CAS:0	chr10	+	89475489:89475600	89481513:89481527	89487041:89487246	N/A	NM_004670,NM_001015880	chr10:89475489-89487246
CAS	chr10:-:PARD3:CAS:0	chr10	-	34663802:34663930	34661426:34661464	34648999:34649187	N/A	NM_001184786,NM_001184785;NM_001184786,NM_001184787;NM_001184786,NM_001184792;NM_001184786,NM_001184793;NM_001184786,NM_019619;NM_001184788,NM_001184785;NM_001184788,NM_001184787;NM_001184788,NM_001184792;NM_001184788,NM_001184793;NM_001184788,NM_019619;NM_001184789,NM_001184785;NM_001184789,NM_001184787;NM_001184789,NM_001184792;NM_001184789,NM_001184793;NM_001184789,NM_019619;NM_001184790,NM_001184785;NM_001184790,NM_001184787;NM_001184790,NM_001184792;NM_001184790,NM_001184793;NM_001184790,NM_019619;NM_001184791,NM_001184785;NM_001184791,NM_001184787;NM_001184791,NM_001184792;NM_001184791,NM_001184793;NM_001184791,NM_019619;NM_001184794,NM_001184785;NM_001184794,NM_001184787;NM_001184794,NM_001184792;NM_001184794,NM_001184793;NM_001184794,NM_019619	chr10:34648999-34663930
CAS	chr10:-:PARD3:CAS:1	chr10	-	34759013:34759191	34739245:34739376	34690754:34690845	N/A	NM_001184790,NM_001184785;NM_001184790,NM_001184786;NM_001184790,NM_001184787;NM_001184790,NM_001184788;NM_001184790,NM_001184789;NM_001184790,NM_001184792;NM_001184790,NM_001184793;NM_001184790,NM_001184794;NM_001184790,NM_019619;NM_001184791,NM_001184785;NM_001184791,NM_001184786;NM_001184791,NM_001184787;NM_001184791,NM_001184788;NM_001184791,NM_001184789;NM_001184791,NM_001184792;NM_001184791,NM_001184793;NM_001184791,NM_001184794;NM_001184791,NM_019619	chr10:34690754-34759191
A5SS	chr10:-:PARD3:A5SS:0	chr10	-	34626293:34626354	34626203:34626354	34625127:34625171	N/A	NM_001184788,NM_001184785;NM_001184788,NM_001184786;NM_001184788,NM_001184787;NM_001184788,NM_001184792;NM_001184788,NM_019619;NM_001184789,NM_001184785;NM_001184789,NM_001184786;NM_001184789,NM_001184787;NM_001184789,NM_001184792;NM_001184789,NM_019619;NM_001184790,NM_001184785;NM_001184790,NM_001184786;NM_001184790,NM_001184787;NM_001184790,NM_001184792;NM_001184790,NM_019619;NM_001184794,NM_001184785;NM_001184794,NM_001184786;NM_001184794,NM_001184787;NM_001184794,NM_001184792;NM_001184794,NM_019619	chr10:34625127-34626354
A5SS	chr10:-:PARD3:A5SS:1	chr10	-	34636893:34637043	34636884:34637043	34630555:34630744	N/A	NM_001184785,NM_001184787;NM_001184785,NM_019619;NM_001184786,NM_001184787;NM_001184786,NM_019619;NM_001184788,NM_001184787;NM_001184788,NM_019619;NM_001184789,NM_001184787;NM_001184789,NM_019619;NM_001184790,NM_001184787;NM_001184790,NM_019619;NM_001184791,NM_001184787;NM_001184791,NM_019619;NM_001184792,NM_001184787;NM_001184792,NM_019619;NM_001184793,NM_001184787;NM_001184793,NM_019619;NM_001184794,NM_001184787;NM_001184794,NM_019619	chr10:34630555-34637043
A3SS	chr10:-:PARD3:A3SS:0	chr10	-	34626293:34626354	34625127:34625171	34625127:34625168	N/A	NM_001184793,NM_001184788;NM_001184793,NM_001184789;NM_001184793,NM_001184790;NM_001184793,NM_001184794	chr10:34625127-34626354
CAS	chr10:+:PAX2:CAS:0	chr10	+	102541003:102541122	102546700:102546768	102566187:102566362	N/A	NM_000278,NM_003987;NM_000278,NM_003990;NM_003988,NM_003987;NM_003988,NM_003990;NM_003989,NM_003987;NM_003989,NM_003990	chr10:102541003-102566362
CAS	chr10:+:PAX2:CAS:1	chr10	+	102584405:102584506	102584659:102584741	102586766:102586852	N/A	NM_000278,NM_003988;NM_003987,NM_003988;NM_003989,NM_003988;NM_003990,NM_003988	chr10:102584405-102586852
AFE	chr10:-:PCBD1:AFE:0	chr10	-	72648288:72648543	72647610:72648011	72645555:72645686	N/A	NM_000281,NM_001289797	chr10:72645555-72648543
CAS	chr10:-:PCDH15:CAS:0	chr10	-	55955443:55955649	55949124:55949144	55944894:55945028	N/A	NM_001142763,NM_001142769;NM_001142764,NM_001142769;NM_001142765,NM_001142769;NM_001142766,NM_001142769;NM_001142767,NM_001142769;NM_001142768,NM_001142769;NM_001142770,NM_001142769;NM_001142771,NM_001142769;NM_001142772,NM_001142769;NM_001142773,NM_001142769;NM_033056,NM_001142769	chr10:55944894-55955649
CAS	chr10:-:PCDH15:CAS:1	chr10	-	56106125:56106244	56089356:56089466	56077031:56077201	N/A	NM_001142767,NM_001142763;NM_001142767,NM_001142764;NM_001142767,NM_001142765;NM_001142767,NM_001142766;NM_001142767,NM_001142768;NM_001142767,NM_001142769;NM_001142767,NM_001142770;NM_001142767,NM_001142771;NM_001142767,NM_001142772;NM_001142767,NM_001142773;NM_001142767,NM_033056	chr10:56077031-56106244
ALE	chr10:-:PCDH15:ALE:0	chr10	-	55570316:55570426	55568452:55569306	55562533:55566890	N/A	NM_001142771,NM_001142769;NM_001142772,NM_001142769	chr10:55562533-55570426
AFE	chr10:+:PCGF5:AFE:0	chr10	+	92922769:92922838	92979908:92980084	92982446:92982740	N/A	NM_001257101,NM_001256549;NR_046435,NM_001256549	chr10:92922769-92982740
AFE	chr10:+:PCGF5:AFE:1	chr10	+	92922769:92922838	92980359:92980593	92982446:92982740	N/A	NM_001257101,NM_032373;NM_001257101,NR_046310;NR_046435,NM_032373;NR_046435,NR_046310	chr10:92922769-92982740
AFE	chr10:+:PCGF5:AFE:2	chr10	+	92979908:92980084	92980359:92980593	92982446:92982740	N/A	NM_001256549,NM_032373;NM_001256549,NR_046310	chr10:92979908-92982740
A3SS	chr10:+:PDCD4:A3SS:0	chr10	+	112635724:112635828	112640991:112641293	112641033:112641293	N/A	NM_001199492,NM_014456	chr10:112635724-112641293
AFE	chr10:+:PFKFB3:AFE:0	chr10	+	6186843:6186976	6188279:6188459	6255586:6255711	N/A	NM_001145443,NM_001282630	chr10:6186843-6255711
AFE	chr10:+:PFKFB3:AFE:1	chr10	+	6186843:6186976	6244840:6245299	6255586:6255711	N/A	NM_001145443,NM_004566	chr10:6186843-6255711
AFE	chr10:+:PFKFB3:AFE:2	chr10	+	6188279:6188459	6244840:6245299	6255586:6255711	N/A	NM_001282630,NM_004566	chr10:6188279-6255711
CAS	chr10:+:PFKP:CAS:0	chr10	+	3141467:3141544	3143113:3143192	3143557:3143746	N/A	NM_002627,NM_001242339	chr10:3141467-3143746
AFE	chr10:+:PHYHIPL:AFE:0	chr10	+	60936348:60936719	60937227:60937378	60994064:60994260	N/A	NM_032439,NM_001143774	chr10:60936348-60994260
CAS	chr10:-:PITRM1:CAS:0	chr10	-	3214909:3215033	3212296:3212398	3209128:3209234	N/A	NM_001242309,NM_001242307;NM_001242309,NM_014889	chr10:3209128-3215033
A5SS	chr10:-:PITRM1:A5SS:0	chr10	-	3190363:3190483	3190360:3190483	3190179:3190255	N/A	NM_014889,NM_001242307	chr10:3190179-3190483
A3SS	chr10:-:PKD2L1:A3SS:0	chr10	-	102089626:102090243	102088968:102089103	102088968:102089081	N/A	NM_016112,NM_001253837	chr10:102088968-102090243
A5SS	chr10:+:PLCE1:A5SS:0	chr10	+	96014650:96014758	96014650:96014806	96018557:96018679	N/A	NM_001288989,NM_001165979;NM_001288989,NM_016341	chr10:96014650-96018679
CAS	chr10:+:PLEKHA1:CAS:0	chr10	+	124186458:124186547	124187792:124187936	124189140:124191871	N/A	NM_001001974,NM_001195608;NM_021622,NM_001195608	chr10:124186458-124191871
AFE	chr10:+:PLEKHA1:AFE:0	chr10	+	124134094:124134322	124151819:124151888	124152697:124152857	N/A	NM_001001974,NM_021622	chr10:124134094-124152857
A5SS	chr10:+:PLEKHS1:A5SS:0	chr10	+	115515018:115515064	115515018:115515164	115526170:115526258	N/A	NM_024889,NM_001193434	chr10:115515018-115526258
A5SS	chr10:+:PLEKHS1:A5SS:1	chr10	+	115534585:115534752	115534585:115534794	115535524:115535625	N/A	NM_001193434,NM_024889;NM_001193435,NM_024889;NM_182601,NM_024889	chr10:115534585-115535625
ALE	chr10:+:PLEKHS1:ALE:0	chr10	+	115536883:115537018	115537169:115537489	115540361:115542192	N/A	NM_001193434,NM_182601;NM_001193435,NM_182601	chr10:115536883-115542192
CAS	chr10:+:PLXDC2:CAS:0	chr10	+	20290704:20290915	20335798:20335944	20357099:20357168	N/A	NM_001282736,NM_032812	chr10:20290704-20357168
A5SS	chr10:-:POLL:A5SS:0	chr10	-	103344635:103344676	103344359:103344676	103343265:103343438	N/A	NM_001174085,NM_001174084;NM_001174085,NM_013274;NM_001174085,NR_033406	chr10:103343265-103344676
A3SS	chr10:+:PPP2R2D:A3SS:0	chr10	+	133754086:133754198	133757472:133757649	133757599:133757649	N/A	NR_033191,NM_001291310;NR_033191,NM_018461	chr10:133754086-133757649
CAS	chr10:-:PPP3CB:CAS:0	chr10	-	75238257:75238381	75236916:75236969	75234677:75234788	N/A	NM_001142353,NM_001289968;NM_001142354,NM_001289968;NM_001289969,NM_001289968;NM_021132,NM_001289968	chr10:75234677-75238381
CAS	chr10:-:PPP3CB:CAS:1	chr10	-	75255563:75255782	75239608:75239726	75239075:75239275	N/A	NM_001142353,NM_001289969;NM_001142354,NM_001289969;NM_001289968,NM_001289969;NM_021132,NM_001289969	chr10:75239075-75255782
A3SS	chr10:-:PPP3CB:A3SS:0	chr10	-	75214170:75214247	75206250:75206334	75206250:75206331	N/A	NM_001289968,NM_001142353;NM_001289968,NM_001142354;NM_001289969,NM_001142353;NM_001289969,NM_001142354;NM_021132,NM_001142353;NM_021132,NM_001142354	chr10:75206250-75214247
A3SS	chr10:+:PPRC1:A3SS:0	chr10	+	103897607:103897795	103898376:103898522	103898477:103898522	N/A	NM_001288728,NM_001288727;NM_001288728,NM_015062	chr10:103897607-103898522
A3SS	chr10:+:PPRC1:A3SS:1	chr10	+	103908129:103908278	103908385:103908451	103908391:103908451	N/A	NM_001288728,NM_001288727;NM_001288728,NM_015062	chr10:103908129-103908451
A5SS	chr10:+:PRAP1:A5SS:0	chr10	+	135165511:135165617	135165511:135165644	135165751:135166187	N/A	NM_001145201,NM_145202	chr10:135165511-135166187
A3SS	chr10:-:PRF1:A3SS:0	chr10	-	72362401:72362531	72360120:72360688	72360120:72360662	N/A	NM_005041,NM_001083116	chr10:72360120-72362531
CAS	chr10:-:PRKCQ:CAS:0	chr10	-	6498636:6498774	6483855:6484043	6472772:6472900	N/A	NM_001242413,NM_001282644;NM_001242413,NM_001282645;NM_001242413,NM_006257	chr10:6472772-6498774
A3SS	chr10:-:PRKCQ:A3SS:0	chr10	-	6556980:6557106	6552957:6553156	6552957:6553154	N/A	NM_001282644,NM_001242413;NM_001282644,NM_001282645;NM_001282644,NM_006257	chr10:6552957-6557106
CAS	chr10:+:PRKCQ-AS1:CAS:0	chr10	+	6622387:6622889	6624100:6624163	6625638:6627323	N/A	NR_036503,NR_036502	chr10:6622387-6627323
AFE	chr10:+:PRKG1:AFE:0	chr10	+	52750911:52751404	52834234:52834661	52912924:52913090	N/A	NM_001098512,NM_006258	chr10:52750911-52913090
CAS	chr10:-:PRTFDC1:CAS:0	chr10	-	25144247:25144293	25140317:25140393	25137536:25138820	N/A	NM_001282786,NM_020200	chr10:25137536-25144293
A3SS	chr10:-:PSD:A3SS:0	chr10	-	104178458:104178516	104176142:104176878	104176142:104176388	N/A	NM_001270966,NM_001270965	chr10:104176142-104178516
AFE	chr10:-:PSD:AFE:0	chr10	-	104179631:104179691	104179413:104179484	104178458:104178516	N/A	NM_001270965,NM_001270966	chr10:104178458-104179691
CAS	chr10:+:PTER:CAS:0	chr10	+	16528351:16528616	16547019:16547159	16553045:16555744	N/A	NM_001261837,NM_001001484;NM_001261837,NM_001261836;NM_001261837,NM_001261838;NM_001261837,NM_030664	chr10:16528351-16555744
AFE	chr10:-:PTPN20B:AFE:0	chr10	-	48827520:48827581	48806829:48806985	48798645:48798739	N/A	NM_001042358,NM_001042357;NM_001042359,NM_001042357;NM_001042361,NM_001042357;NM_001042362,NM_001042357	chr10:48798645-48827581
AFE	chr10:-:PTPN20B:AFE:1	chr10	-	48827861:48827924	48806829:48806985	48798645:48798739	N/A	NM_001042363,NM_001042357	chr10:48798645-48827924
AFE	chr10:-:PTPN20B:AFE:2	chr10	-	48827861:48827924	48827520:48827581	48798645:48798739	N/A	NM_001042363,NM_001042358;NM_001042363,NM_001042359;NM_001042363,NM_001042361;NM_001042363,NM_001042362	chr10:48798645-48827924
A5SS	chr10:+:PWWP2B:A5SS:0	chr10	+	134218130:134219490	134218130:134219793	134230565:134231358	N/A	NM_001098637,NM_138499	chr10:134218130-134231358
A5SS	chr10:+:RAB18:A5SS:0	chr10	+	27798804:27798849	27798804:27798859	27821436:27821508	N/A	NM_001256415,NR_046172	chr10:27798804-27821508
AFE	chr10:-:RASGEF1A:AFE:0	chr10	-	43762293:43762367	43725085:43725187	43701367:43701570	N/A	NM_145313,NM_001282862	chr10:43701367-43762367
AFE	chr10:+:RBM17:AFE:0	chr10	+	6130949:6131156	6131309:6131934	6139011:6139151	N/A	NM_032905,NM_001145547	chr10:6130949-6139151
CAS	chr10:+:RGR:CAS:0	chr10	+	86014082:86014199	86017649:86017762	86018264:86018944	N/A	NM_001012722,NM_001012720;NM_001012722,NM_002921	chr10:86014082-86018944
A3SS	chr10:+:RGR:A3SS:0	chr10	+	86007347:86007503	86008666:86008799	86008678:86008799	N/A	NM_001012720,NM_002921;NM_001012722,NM_002921	chr10:86007347-86008799
AFE	chr10:-:RGS10:AFE:0	chr10	-	121302102:121302222	121295976:121296045	121286818:121286936	N/A	NM_001005339,NM_002925	chr10:121286818-121302222
CAS	chr10:-:RHOBTB1:CAS:0	chr10	-	62701562:62701612	62695971:62696042	62671109:62671310	N/A	NM_014836,NM_001242359;NR_024554,NM_001242359;NR_024555,NM_001242359	chr10:62671109-62701612
AFE	chr10:-:RHOBTB1:AFE:0	chr10	-	62761157:62761198	62760659:62760736	62745603:62745703	N/A	NR_024555,NR_024554	chr10:62745603-62761198
ALE	chr10:-:RNLS:ALE:0	chr10	-	90074223:90074398	90043859:90045263	90033621:90034789	N/A	NM_018363,NM_001031709	chr10:90033621-90074398
A3SS	chr10:+:RPS24:A3SS:0	chr10	+	79796952:79797062	79797720:79797740	79797723:79797740	N/A	NM_001142284,NM_001142283	chr10:79796952-79797740
A3SS	chr10:+:RPS24:A3SS:1	chr10	+	79796952:79797062	79799959:79799983	79799962:79799983	N/A	NM_033022,NM_001142282	chr10:79796952-79799983
ALE	chr10:+:RPS24:ALE:0	chr10	+	79796952:79797062	79800373:79800473	79814289:79816571	N/A	NM_001142285,NM_001026	chr10:79796952-79816571
CAS	chr10:-:RSU1:CAS:0	chr10	-	16859314:16859453	16858972:16859083	16824033:16824083	N/A	NM_152724,NM_012425	chr10:16824033-16859453
CAS	chr10:-:RUFY2:CAS:0	chr10	-	70161377:70161494	70156537:70156638	70154085:70154208	N/A	NM_001042417,NM_001278225;NM_001042417,NM_017987;NM_001042417,NR_103475;NM_001042417,NR_103476	chr10:70154085-70161494
CAS	chr10:-:SAR1A:CAS:0	chr10	-	71930169:71930285	71922446:71922515	71921614:71921687	N/A	NM_020150,NM_001142648	chr10:71921614-71930285
CAS	chr10:+:SEC23IP:CAS:0	chr10	+	121652085:121652457	121657939:121658471	121662311:121662521	N/A	NR_037771,NM_007190	chr10:121652085-121662521
CAS	chr10:+:SEC24C:CAS:0	chr10	+	75504131:75504195	75506388:75506474	75506563:75506762	N/A	NM_198597,NM_004922	chr10:75504131-75506762
ALE	chr10:+:SEC61A2:ALE:0	chr10	+	12204212:12204288	12206267:12207403	12211257:12211957	N/A	NM_001142627,NM_001142628;NM_001142627,NM_018144	chr10:12204212-12211957
CAS	chr10:-:SEPHS1:CAS:0	chr10	-	13370351:13370450	13364835:13365047	13359438:13361356	N/A	NM_001195604,NM_001195602;NM_001195604,NM_012247	chr10:13359438-13370450
CAS	chr10:-:SEPHS1:CAS:1	chr10	-	13390000:13390298	13386758:13387028	13380705:13380808	N/A	NM_001195602,NM_001195604;NM_001195602,NM_012247	chr10:13380705-13390298
AFE	chr10:-:SFMBT2:AFE:0	chr10	-	7453307:7453448	7451264:7451303	7423761:7423911	N/A	NM_001029880,NM_001018039	chr10:7423761-7453448
AFE	chr10:+:SFR1:AFE:0	chr10	+	105881816:105881912	105881929:105881954	105882723:105882844	N/A	NM_145247,NM_001002759	chr10:105881816-105882844
A5SS	chr10:+:SFTPA1:A5SS:0	chr10	+	81371075:81371104	81371075:81371145	81371559:81371753	N/A	NM_001164644,NM_005411	chr10:81371075-81371753
A3SS	chr10:+:SFTPA1:A3SS:0	chr10	+	81370695:81370738	81371335:81371397	81371338:81371397	N/A	NM_001093770,NM_001164645	chr10:81370695-81371397
CAS	chr10:-:SFXN4:CAS:0	chr10	-	120905748:120905865	120901765:120901885	120900425:120900831	N/A	NM_213649,NR_110305	chr10:120900425-120905865
CAS	chr10:-:SFXN4:CAS:1	chr10	-	120921852:120921926	120920567:120920593	120920427:120920481	N/A	NR_110305,NM_213649	chr10:120920427-120921926
A3SS	chr10:+:SH2D4B:A3SS:0	chr10	+	82363335:82363551	82369180:82369307	82369183:82369307	N/A	NM_207372,NM_001145719	chr10:82363335-82369307
AFE	chr10:+:SH2D4B:AFE:0	chr10	+	82297658:82298271	82300575:82300689	82329910:82330072	N/A	NM_207372,NM_001145719	chr10:82297658-82330072
CAS	chr10:+:SHOC2:CAS:0	chr10	+	112723883:112724819	112745386:112745523	112760173:112760303	N/A	NM_001269039,NM_007373	chr10:112723883-112760303
CAS	chr10:+:SIRT1:CAS:0	chr10	+	69647175:69647291	69648640:69648881	69651160:69651312	N/A	NM_001142498,NM_012238	chr10:69647175-69651312
AFE	chr10:+:SIRT1:AFE:0	chr10	+	69644427:69644909	69644939:69645157	69647175:69647291	N/A	NM_012238,NM_001142498	chr10:69644427-69647291
A5SS	chr10:+:SLC29A3:A5SS:0	chr10	+	73115838:73116000	73115838:73116006	73121711:73123147	N/A	NM_018344,NM_001174098;NR_033413,NM_001174098;NR_033414,NM_001174098	chr10:73115838-73123147
A3SS	chr10:+:SLC35G1:A3SS:0	chr10	+	95653730:95653968	95658328:95658508	95658331:95658508	N/A	NM_153226,NM_001134658	chr10:95653730-95658508
CAS	chr10:+:SLC39A12:CAS:0	chr10	+	18240768:18240954	18242120:18242466	18250510:18250791	N/A	NM_001282734,NM_001145195;NM_001282734,NM_001282733;NM_001282734,NM_152725	chr10:18240768-18250791
A3SS	chr10:+:SLC39A12:A3SS:0	chr10	+	18280080:18280232	18282110:18282220	18282113:18282220	N/A	NM_001282733,NM_001145195;NM_001282733,NM_001282734	chr10:18280080-18282220
CAS	chr10:-:SORBS1:CAS:0	chr10	-	97114639:97114724	97110966:97111133	97106163:97106209	N/A	NM_006434,NM_001034954;NM_006434,NM_001034955;NM_006434,NM_001034956;NM_006434,NM_001034957;NM_006434,NM_001290294;NM_006434,NM_001290295;NM_006434,NM_001290296;NM_006434,NM_001290297;NM_006434,NM_001290298;NM_006434,NM_024991;NM_015385,NM_001034954;NM_015385,NM_001034955;NM_015385,NM_001034956;NM_015385,NM_001034957;NM_015385,NM_001290294;NM_015385,NM_001290295;NM_015385,NM_001290296;NM_015385,NM_001290297;NM_015385,NM_001290298;NM_015385,NM_024991	chr10:97106163-97114724
CAS	chr10:-:SORBS1:CAS:1	chr10	-	97192205:97192333	97181947:97181973	97181718:97181830	N/A	NM_001034957,NM_001034954;NM_001034957,NM_001034955;NM_001034957,NM_001034956;NM_001034957,NM_001290294;NM_001034957,NM_001290295;NM_001034957,NM_001290297;NM_001034957,NM_015385;NM_001034957,NM_024991;NM_001290296,NM_001034954;NM_001290296,NM_001034955;NM_001290296,NM_001034956;NM_001290296,NM_001290294;NM_001290296,NM_001290295;NM_001290296,NM_001290297;NM_001290296,NM_015385;NM_001290296,NM_024991;NM_001290298,NM_001034954;NM_001290298,NM_001034955;NM_001290298,NM_001034956;NM_001290298,NM_001290294;NM_001290298,NM_001290295;NM_001290298,NM_001290297;NM_001290298,NM_015385;NM_001290298,NM_024991;NM_006434,NM_001034954;NM_006434,NM_001034955;NM_006434,NM_001034956;NM_006434,NM_001290294;NM_006434,NM_001290295;NM_006434,NM_001290297;NM_006434,NM_015385;NM_006434,NM_024991	chr10:97181718-97192333
CAS	chr10:-:SORBS1:CAS:2	chr10	-	97197247:97197312	97194379:97194474	97192205:97192333	N/A	NM_001034957,NM_001034954;NM_001034957,NM_001034955;NM_001034957,NM_001034956;NM_001034957,NM_001290294;NM_001034957,NM_001290296;NM_001034957,NM_001290298;NM_001034957,NM_024991;NM_001290295,NM_001034954;NM_001290295,NM_001034955;NM_001290295,NM_001034956;NM_001290295,NM_001290294;NM_001290295,NM_001290296;NM_001290295,NM_001290298;NM_001290295,NM_024991;NM_001290297,NM_001034954;NM_001290297,NM_001034955;NM_001290297,NM_001034956;NM_001290297,NM_001290294;NM_001290297,NM_001290296;NM_001290297,NM_001290298;NM_001290297,NM_024991;NM_006434,NM_001034954;NM_006434,NM_001034955;NM_006434,NM_001034956;NM_006434,NM_001290294;NM_006434,NM_001290296;NM_006434,NM_001290298;NM_006434,NM_024991;NM_015385,NM_001034954;NM_015385,NM_001034955;NM_015385,NM_001034956;NM_015385,NM_001290294;NM_015385,NM_001290296;NM_015385,NM_001290298;NM_015385,NM_024991	chr10:97192205-97197312
A3SS	chr10:-:SORBS1:A3SS:0	chr10	-	97098890:97099084	97096278:97097051	97096278:97096562	N/A	NM_001034955,NM_001034954;NM_001034955,NM_001290294	chr10:97096278-97099084
A3SS	chr10:-:SORBS1:A3SS:1	chr10	-	97181718:97181830	97174251:97174619	97174251:97174412	N/A	NM_001034956,NM_001034954;NM_001034956,NM_001034955;NM_001034956,NM_001290294;NM_001034956,NM_001290296;NM_001034956,NM_015385	chr10:97174251-97181830
ALE	chr10:-:SORCS1:ALE:0	chr10	-	108339127:108339232	108338421:108339009	108333421:108337043	N/A	NM_001206570,NM_001206569	chr10:108333421-108339232
ALE	chr10:-:SORCS1:ALE:1	chr10	-	108339127:108339232	108338421:108339009	108333421:108337313	N/A	NM_052918,NM_001206569	chr10:108333421-108339232
CAS	chr10:+:SRGN:CAS:0	chr10	+	70847828:70847992	70856840:70856987	70863627:70864567	N/A	NR_036430,NM_002727	chr10:70847828-70864567
A5SS	chr10:+:STOX1:A5SS:0	chr10	+	70644016:70644215	70644016:70646374	70652345:70652816	N/A	NM_001130159,NM_152709	chr10:70644016-70652816
